consent,code,village,n_villageHH,VSLA,name_VSLA,n_VSLA,Sex,head_HH,HH_members,Female_illiterate,Female_notfinished_primary,Female_finished_primary,Female_graduate_lower_secondary,Female_graduate_upper_secondary,Female_vocational,Female_Uni,Female_postgraduate,Male_illiterate,Male_notfinished_primary,Male_finished_primary,Male_graduate_lower_secondary,Male_graduate_upper_secondary,Male_vocational,Male_Uni,Male_postgraduate,EM,Em_Thai,EM_Mong,EM_Kho_Mu,EM_Kinh,EM_others,read_wife,read_hus,read_fiw,read_mil,read_chil,poor,near_poor,non_poor,migration,agriculture,government_staff,small_business,tech_worker,manual_worker,weak_nowork,other_work,rice_area,ave_rice,rice_main_income,drought,hot_spell,erratic_rain,prolong_rain,early_rain_season,hailstones,flood,flashflood_landslide,cold_spell,frost,thunder_storm,no_risk,risk,risk_impact,need,access,confirm_need1,project_drive,read_listen,read_listen_others,total_readlisten,discuss,discuss_others,total_discuss,understand,understand_others,total_understand,posperception,posperception_others,total_posperception,intention,intention_others,total_intention,int_adopt,noint_adopt,total_adopt,seed_adopt,seed_type,seed_amount,sow_time,sow_technique,disadopt_seedtype,disadopt_seedamount,disadopt_sowingtime,disadopt_sowingtechnique,disadopt_seed_no,disadopt_seed_reasons,fer_adopt,fer_type,fer_rate,fer_time_weather,fer_place,fer_type_disadopt,fer_rate_disadopt,fer_time_weather_disadopt,fer_place_disadopt,no_fer_disadopt,disadopt_fer_reasons,protect_adopt,pesticide_type,pesticide_rate,pesticide_time_weather,pesticide_place,pesticide_type_disadopt,pesticide_rate_disadopt,pesticide_time_weather_disadopt,pesticide_place_disadopt,no_pesticide_disadopt,disadopt_pesticide_reasons,water_adopt,water_plant_stage,water_clear_canal,water_coordination,water_saving,water_pumping,water_drought_tolerant_variety,water_plant_stage_disadopt,water_canal_disadopt,water_coordination_disadopt,water_saving_disadopt,water_pumping_disadopt,water_drought_tolerant_variety_disadopt,no_water_disadopt ,disadopt_water management_reasons,implement_seed,wife_seed,husband_seed,mother_seed,father_seed,others_seed,implement_fertilizer,wife_fertilizer,husband_fertilizer,mother_fertilizer,father_fertilizer,others_fertilizer,implement_plant_protection,wife_plant_protection,husband_plant_protection,mother_plant_protection,father_plant_protection,others_plant_protection,implement_water,wife_water,husband_water,mother_water,father_water,others_water,recommend,n_recommend,close_friends,neighbors,neighboring_farms,relatives,others_recommended,imitate,year_know,start_adopt,early_adopter,confirm_need2,Thai,Mong,KhoMu,Kinh,other_language
Yes,81,Xôm 1,65,0,,,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Thái ,1,0,0,0,0,1,1,1,,,0,0,1,1,1,0,0,0,0,0,0,2700,338,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,0,1,0,0,1,0,0,0,We use more seeds,1,1,1,1,0,0,0,0,0,1,,1,1,1,0,1,0,0,0,0,1,,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,0,0,,,,,,0,2018,2020,1,1,1,0,0,0,0
Yes,77,Xôm 3,63,0,,,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,1,1,,,,1,0,0,1,1,0,0,0,0,0,0,,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,0,1,1,0,0,1,0,0,0,Not appropriate to the reality,1,1,1,0,0,0,0,0,0,1,,1,1,1,0,0,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,0,0,0,0,,,,,,,,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,0,0,,,,,,0,2019,2020,0,1,1,0,0,0,0
Yes,73,Dong Met 2,76,0,,,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,0,1,,,1,1,0,0,1,1,0,0,0,0,0,0,500,167,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,,1,0,,0,,0,0,,0,0,,0,0,,0,0,,1,1,1,1,1,1,0,0,1,0,0,0,,1,1,1,0,0,,,,,,,1,1,1,0,0,0,0,0,0,1,,1,1,1,0,0,1,0,0,0,1,0,0,0,0,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,0,0,,,,,,0,2019,2020,0,,1,0,0,0,0
Yes,78,Ten,43,0,,,1,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Kho Mú,0,0,1,0,0,1,1,,,1,0,1,0,0,1,0,0,0,0,0,0,2000,500,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,1,0,0,0,We use more seeds,1,1,1,0,0,0,0,0,0,1,,1,1,1,0,0,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,0,0,0,0,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,0,0,,,,,,0,2019,,0,1,0,0,1,0,0
Yes,37,Dong Met 1,81,1,Hanh phúc,23,1,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,1,1,1,1,,0,0,1,0,1,0,0,0,0,0,0,6000,1000,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,0,0,0,0,,Wife Husband Mother in law,1,1,1,0,0,Wife  Husband Mother in law,1,1,1,0,0,Wife  Husband Mother in law,1,1,1,0,0,Wife  Husband Mother in law,1,1,1,0,0,1,4,0,1,1,0,0,4,2018,2019,1,1,1,0,0,0,0
Yes,83,Co Cuom,60,0,,,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Kho Mú,0,0,1,0,0,1,1,,,1,0,1,0,1,1,0,0,0,0,0,0,1800,600,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,,1,0,,0,,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,1,1,0,0,1,0,0,0,0,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,1,>5,1,1,1,0,0,5,2017,2019,1,1,0,0,1,0,0
Yes,39,Xôm 3,63,1,Hoa mai,20,1,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,1,1,,,,0,0,1,0,1,0,0,0,1,0,0,1000,250,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,,,,,0,0,0,0,1,,1,1,1,1,1,1,1,0,0,1,0,0,0,0,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,1,5,1,1,0,0,0,5,2017,2019,1,1,1,0,0,0,0
Yes,10,Bua,75,1,Hoa Anh Dào,24,1,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,6000,1000,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,,1,1,,1,1,,1,1,,1,0,,0,,1,1,0,,,,,,,,,,,0,,,,,,,,,,,1,1,1,1,1,0,0,0,0,1,,1,1,1,0,0,1,1,0,0,0,0,0,0,1,Some advice is only actionable when the field is near cannal system,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Husband,0,1,0,0,0,Wife ,1,0,0,0,0,1,3,0,1,1,1,0,3,2015,2016,0,1,1,0,0,0,0
Yes,8,Khau Cam,30,1,Hoa Ban,18,1,1,3,0,1,0,0,0,0,0,0,,,,,,,,,Thái ,1,0,0,0,0,0,,,,1,0,0,1,1,1,0,0,0,0,0,0,3000,1000,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,0,0,1,1,1,1,0,0,0,"We use more seeds since we are afraid that baby rice will die of cold weather, heavy rain. We may also need to shift to other crop if our farm has water shortage",1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,0,0,1,0,0,0,0,1,0,0,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,,,,,,,1,>5,0,1,1,1,0,>5,2017,2017,1,1,1,0,0,0,0
Yes,50,Yên 1,54,0,,,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Thái ,1,0,0,0,0,0,0,,,0,0,0,1,0,1,0,0,0,0,0,0,700,233,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,,0,,1,1,1,,1,1,,1,1,,1,1,,1,1,0,0,1,1,1,1,0,0,0,,0,,,,,,,,,,,1,1,1,1,1,0,0,0,0,1,,0,,,,,,,,,,,,,,Can not make regular visits to farms,Husband,0,1,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Others,0,0,0,0,1,1,3,0,0,0,1,0,3,2019,2019,1,1,1,0,0,0,0
Yes,2,Co Man 2,80,1,Hoa Mai,20,1,0,7,0,0,0,1,0,0,0,0,,,,,,,,,Thái ,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,5000,714,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,0,1,1,1,0,0,0,0,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,0,1,1,1,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife  Husband,1,1,0,0,0,Husband,0,1,0,0,0,1,>5,,,,,,4,2015,2018,0,1,1,0,0,0,0
Yes,52,Co Man 1,80,0,,,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Thái ,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4000,667,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,1,1,0,0,0,0,0,0,1,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Husband,0,1,0,0,0,1,4,1,1,1,1,0,>5,2016,2016,1,1,0,1,1,1,0
Yes,56,Che Can,104,0,,,1,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Thái ,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,3000,500,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,1,1,0,0,0,0,0,0,1,,Husband Father in law,0,1,0,1,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Husband Father in law,0,1,0,1,0,1,4,0,1,1,0,0,4,2016,2016,1,1,0,0,0,1,0
Yes,51,Yên 2,63,0,,,1,1,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Thái ,1,0,0,0,0,1,1,,,1,0,0,1,0,1,0,0,0,1,0,0,1700,340,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,1,1,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife  Husband,1,1,0,0,0,1,5,1,1,1,1,0,>5,2016,2016,1,1,1,0,0,0,0
Yes,53,Co Man 2,80,0,,,1,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Thái ,1,0,0,0,0,1,1,,,1,0,0,1,0,1,0,0,0,1,0,0,3000,500,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,1,0,0,0,0,,1,1,1,1,1,1,1,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,1,5,1,1,1,1,0,>5,2016,2017,0,1,1,0,0,1,0
Yes,64,Bánh,63,0,,,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,1,1,,,1,0,0,1,1,1,0,0,0,0,0,0,1000,333,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,0,1,1,0,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,,,,,,,1,0,0,1,1,1,1,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife  Husband,1,1,0,0,0,1,3,1,1,0,0,0,2,2017,2018,1,1,1,0,0,0,0
Yes,20,Bánh,63,1,Ban Mai,38,1,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,3000,375,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,1,1,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife  Husband,1,1,0,0,0,Wife ,1,0,0,0,0,Wife  Husband,1,1,0,0,0,1,>5,1,1,1,1,0,>5,2016,2016,1,1,1,0,0,0,0
Yes,68,Dông Met 2,77,0,,,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,Thái ,1,0,0,0,0,1,,,,,1,0,0,0,1,0,0,0,0,0,0,1000,1000,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,,1,1,,1,0,,0,,0,0,,0,0,,1,1,1,0,1,1,0,0,0,0,0,1,,1,0,1,1,0,0,0,0,0,1,,1,0,1,1,0,0,0,0,0,1,,1,1,1,0,0,1,0,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,1,2,0,1,0,1,0,1,2017,2019,1,1,1,0,0,0,0
Yes,21,Yên 2,62,1,Hoa Huong Duong,40,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Thái ,1,0,0,0,0,1,1,,,1,0,0,1,1,1,0,0,0,0,0,0,3000,750,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,,0,1,,1,1,,1,1,,1,1,,1,1,,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
